PAD01,LocationCode,W502G,2021-09-03,17:51:24,1
PAD01,ClassCode,21A089T03,2021-09-03,17:51:31,0
PAD01,ClassCode,21A089T03,2021-09-03,17:51:32,0
PAD01,StudentCode,151028,2021-09-03,17:51:46,3
PAD01,StudentCode,151028,2021-09-03,17:51:46,4
PAD01,StaffCode,D09586,2021-09-03,17:51:46,5
PAD01,StudentCode,114542,2021-09-03,17:51:48,6
PAD01,StudentCode,AJ4248,2021-09-03,17:51:53,7
PAD01,StaffCode,D09586,2021-09-03,17:51:58,8
PAD01,StudentCode,114542,2021-09-03,17:52:22,9
PAD01,StudentCode,151028,2021-09-03,17:52:30,10
PAD01,StaffCode,D09586,2021-09-03,17:53:05,11
